task,source,target,model,n_seeds,seeds,macro_f1_mean,macro_f1_sd,balanced_accuracy_mean,balanced_accuracy_sd,false_alarm_rate_mean,false_alarm_rate_sd
binary,ids2018,ids2018,DecisionTree,3,"7,42,1337",0.948659688604064,0.014404769336826667,0.9609934115844506,0.019233755601812084,0.017312173215270534,0.001144243722346243
binary,ids2018,ids2018,DeepMLP,2,"7,42",0.9839893421372456,0.0017585451649524482,0.9764246525826648,0.0015836439014774981,0.0013123835334506498,0.0004497052182246837
binary,ids2018,ids2018,FeatureCNN,2,"7,42",0.9717502479108109,0.018474233685651712,0.9623117977610087,0.021943672609166756,0.0034349151480608997,0.002921513580560188
binary,ids2018,ids2018,RandomForest,3,"7,42,1337",0.9852090429317609,0.0028860869072894427,0.9776691576551954,0.0005880351752854308,0.0011367547419657332,0.0016991342632452667
binary,ids2018,ids2018,ShallowMLP,3,"7,42,1337",0.9731991893822464,0.003820579210452952,0.9733610271609284,0.000940908283669737,0.006718097065205601,0.0023552411714246515
binary,ids2018,ids2018,SoftVoting,3,"7,42,1337",0.9784885799787003,0.010316328885479382,0.9675275027821236,0.01961076140471446,0.0013410924343457001,0.001584699124131022
binary,ids2018,ids2018,XGBoost,3,"7,42,1337",0.9849979251873245,0.002112966418252044,0.9783522236062745,0.0008463004238209661,0.0014556176616444998,0.0012696162066238106
binary,ids2018,unsw,DecisionTree,3,"7,42,1337",0.4624164369835537,0.03158189394582218,0.4813554978057329,0.012408637986614082,0.18971006017444736,0.1093933096105267
binary,ids2018,unsw,DeepMLP,2,"7,42",0.5213742297889379,0.03416608424514214,0.5156425078497722,0.018445109695827817,0.002303272382387,0.0006916129421858584
binary,ids2018,unsw,FeatureCNN,2,"7,42",0.48431830566164696,0.0036561328484479762,0.4812480482575009,0.005941854501878649,0.05150064764395185,0.002009278428575025
binary,ids2018,unsw,RandomForest,3,"7,42,1337",0.4875533102164528,0.0005955645248190199,0.49365784492909537,0.005963368112291473,0.0134964455440367,0.012292395574170412
binary,ids2018,unsw,ShallowMLP,3,"7,42,1337",0.4433657878032616,0.09166378536828515,0.42395376287909264,0.12293184523610928,0.1986562616233265,0.24467294064699152
binary,ids2018,unsw,SoftVoting,3,"7,42,1337",0.5095086463303254,0.011181062250329759,0.5096215768217999,0.004974511125827404,0.0016915054267511332,0.0019160992865895848
binary,ids2018,unsw,XGBoost,3,"7,42,1337",0.5156591780316647,0.0232872598593301,0.5130273722656011,0.01099453989693605,0.00028093443055073335,0.0001487335234669195
binary,unsw,ids2018,DecisionTree,3,"7,42,1337",0.5117583017325269,0.11528164403090586,0.5474999467790232,0.15117080324793297,0.2686878959027856,0.09799637581496783
binary,unsw,ids2018,DeepMLP,3,"7,42,1337",0.43642284681174126,0.025593145845505986,0.6512782291783631,0.041766394992195706,0.5855043118404941,0.010998854185538283
binary,unsw,ids2018,FeatureCNN,3,"7,42,1337",0.4274065272390469,0.035863280179991366,0.620879004287839,0.08017048650762917,0.5826010157745644,0.010393435265120298
binary,unsw,ids2018,RandomForest,3,"7,42,1337",0.4366236646543887,0.004796805770502372,0.43423003377833896,0.008585773407817271,0.15084007614773723,0.017456713540763218
binary,unsw,ids2018,ShallowMLP,3,"7,42,1337",0.4574820452086708,0.02827360985901998,0.5927648814720603,0.024471829169487275,0.4913201648250231,0.061259640148309626
binary,unsw,ids2018,SoftVoting,3,"7,42,1337",0.4445136230104357,0.00576485434017666,0.4482774920943226,0.004181502365019945,0.11847362232762187,0.004274719817821063
binary,unsw,ids2018,XGBoost,3,"7,42,1337",0.46294688171674175,0.004970545330764434,0.4814755372382134,0.007426771966767458,0.047190793947303904,0.018233353973495715
binary,unsw,unsw,DecisionTree,3,"7,42,1337",0.9662010124971023,0.009066197183791503,0.9910424119728486,0.0018551058391534,0.004626648692508732,0.0004998298989436137
binary,unsw,unsw,DeepMLP,3,"7,42,1337",0.9626785480929589,0.009334764037067624,0.996702174431784,0.0002829852214697428,0.005757374062563866,0.0003377746694507975
binary,unsw,unsw,FeatureCNN,3,"7,42,1337",0.9621224074276857,0.009976016759947309,0.9959767733029024,0.0013840846059069397,0.0057872386667323335,0.000682447344485578
binary,unsw,unsw,RandomForest,3,"7,42,1337",0.970096335664267,0.006065935924989893,0.9961473648314231,0.0011073944052223624,0.004531231886080567,0.000922737196353761
binary,unsw,unsw,ShallowMLP,3,"7,42,1337",0.864295043784082,0.17219511122690373,0.981729703328591,0.025583843616924676,0.035994585741403434,0.05125972818762192
binary,unsw,unsw,SoftVoting,3,"7,42,1337",0.9678968287483727,0.008925032539188563,0.9923198702270161,0.0010599744013414813,0.004444506551785833,0.0005173911894430081
binary,unsw,unsw,XGBoost,3,"7,42,1337",0.9750274001297766,0.004995868585582929,0.9805360749545687,0.004987223232651936,0.0023400748142199334,0.0004882344225564604
multiclass,ids2018,ids2018,DecisionTree,2,"7,42",0.6819615950143283,0.04633862885009357,0.734001886393877,0.022387957164503598,0.2400550545114934,0.07607840463009176
multiclass,ids2018,ids2018,DeepMLP,2,"7,42",0.6332943601630378,0.0630965107990877,0.7378226043238144,0.010990565027206372,0.0593826887160782,0.02204210446219777
multiclass,ids2018,ids2018,FeatureCNN,2,"7,42",0.5703444835394298,0.003051103163823541,0.7340684909660666,0.0025559242991584673,0.1015614222298451,0.049296507798300214
multiclass,ids2018,ids2018,RandomForest,2,"7,42",0.7223834170579222,0.049347023434304964,0.7427671323265578,0.017822696837444706,0.02476610415241745,0.00665447714883203
multiclass,ids2018,ids2018,ShallowMLP,2,"7,42",0.5880026992022593,0.08292286293153973,0.7390935832892462,0.012661033689483101,0.35395766478765767,0.19052581691861717
