instance,p_original,replayed_probability,replayed_class,absolute_error
29559,0.6045828430419925,0.6045828430419925,0,0.0
29850,1.0,1.0,5,0.0
30780,0.7233675982563047,0.7233675982563047,4,0.0
42842,0.9999828686419776,0.9999828686419776,9,0.0
43503,1.0,1.0,3,0.0
49460,1.0,1.0,8,0.0
52554,0.7492768811569901,0.7492768811569901,4,0.0
56059,1.0,1.0,6,0.0
57820,1.0,1.0,4,0.0
65162,1.0,1.0,5,0.0
65670,0.9889405564964836,0.9889405564964835,9,1.1102230246251565e-16
68650,1.0,1.0,4,0.0
69386,1.0,1.0,4,0.0
72046,1.0,1.0,8,0.0
129345,1.0,1.0,2,0.0
148348,1.0,1.0,2,0.0
162798,1.0,1.0,2,0.0
170208,1.0,1.0,2,0.0
186355,1.0,1.0,2,0.0
189264,1.0,1.0,2,0.0
193128,1.0,1.0,2,0.0
236417,1.0,1.0,2,0.0
296427,1.0,1.0,2,0.0
328082,1.0,1.0,2,0.0
346542,1.0,1.0,2,0.0
367103,1.0,1.0,2,0.0
512132,1.0,1.0,2,0.0
524775,1.0,1.0,2,0.0
538709,1.0,1.0,2,0.0
581627,1.0,1.0,2,0.0
632209,1.0,1.0,2,0.0
655924,1.0,1.0,2,0.0
662613,1.0,1.0,2,0.0
675546,1.0,1.0,2,0.0
705606,1.0,1.0,2,0.0
762115,1.0,1.0,2,0.0
784017,1.0,1.0,2,0.0
791805,1.0,1.0,2,0.0
886235,1.0,1.0,2,0.0
976674,1.0,1.0,4,0.0
979823,1.0,1.0,5,0.0
980216,0.9992169386909056,0.9992169386909057,6,1.1102230246251565e-16
980937,0.8318209240572451,0.8318209240572451,8,0.0
989598,1.0,1.0,2,0.0
990517,1.0,1.0,6,0.0
994104,0.9699430597484024,0.9699430597484023,7,1.1102230246251565e-16
994229,0.9793426178082664,0.9793426178082664,6,0.0
994531,0.9979471790755948,0.9979471790755947,5,1.1102230246251565e-16
996567,0.6566456178747329,0.6566456178747329,1,0.0
996702,0.9950042663183616,0.9950042663183616,9,0.0
996895,0.529701625659436,0.529701625659436,1,0.0
998917,0.9989746006508976,0.9989746006508975,7,1.1102230246251565e-16
1002238,1.0,1.0,6,0.0
1002677,1.0,1.0,6,0.0
1004305,1.0,1.0,5,0.0
1004346,1.0,1.0,5,0.0
1004892,1.0,1.0,6,0.0
1007701,1.0,1.0,6,0.0
1007782,1.0,1.0,6,0.0
1007789,1.0,1.0,6,0.0
1008333,0.6936087953052666,0.6936087953052666,1,0.0
1008380,0.4886782333763104,0.4886782333763104,3,0.0
1008404,0.4143906585874994,0.4143906585874994,3,0.0
1008461,0.4128972930305563,0.41289729303055633,3,5.551115123125783e-17
