instance,p_original,replayed_probability,replayed_class,absolute_error
29559,0.2702812135479517,0.2702812135479517,1,0.0
29850,0.9695442868577474,0.9695442868577474,5,0.0
30780,0.5081677970148439,0.5081677970148439,4,0.0
42842,0.7483954604146871,0.7483954604146871,9,0.0
43503,0.598671330665557,0.598671330665557,3,0.0
49460,0.9646166326557244,0.9646166326557244,8,0.0
52554,0.6536272255904254,0.6536272255904254,4,0.0
56059,0.9968446354782148,0.9968446354782148,6,0.0
57820,0.8666175695226355,0.8666175695226355,4,0.0
65162,0.97018624936482,0.9701862493648202,5,2.220446049250313e-16
65670,0.9748680899504116,0.9748680899504114,9,2.220446049250313e-16
68650,0.9993456584326889,0.9993456584326887,4,1.1102230246251565e-16
69386,0.9474023691137454,0.9474023691137454,4,0.0
72046,0.9180512510241754,0.9180512510241752,8,2.220446049250313e-16
129345,1.0,1.0,2,0.0
148348,1.0,1.0,2,0.0
162798,1.0,1.0,2,0.0
170208,1.0,1.0,2,0.0
186355,1.0,1.0,2,0.0
189264,1.0,1.0,2,0.0
193128,1.0,1.0,2,0.0
236417,1.0,1.0,2,0.0
296427,1.0,1.0,2,0.0
328082,1.0,1.0,2,0.0
346542,1.0,1.0,2,0.0
367103,1.0,1.0,2,0.0
512132,1.0,1.0,2,0.0
524775,1.0,1.0,2,0.0
538709,1.0,1.0,2,0.0
581627,1.0,1.0,2,0.0
632209,1.0,1.0,2,0.0
655924,1.0,1.0,2,0.0
662613,1.0,1.0,2,0.0
675546,1.0,1.0,2,0.0
705606,1.0,1.0,2,0.0
762115,1.0,1.0,2,0.0
784017,1.0,1.0,2,0.0
791805,1.0,1.0,2,0.0
886235,1.0,1.0,2,0.0
976674,0.7091668557521368,0.7091668557521368,4,0.0
979823,0.9998197894096124,0.9998197894096124,5,0.0
980216,0.4523902900170732,0.4523902900170733,6,1.1102230246251565e-16
980937,0.7395526376392476,0.739552637639248,8,3.3306690738754696e-16
989598,1.0,1.0,2,0.0
990517,0.9941073952305592,0.9941073952305592,6,0.0
994104,0.973926085313804,0.9739260853138041,7,1.1102230246251565e-16
994229,0.3937859462647387,0.3937859462647387,3,0.0
994531,0.8513022692204342,0.8513022692204342,5,0.0
996567,0.4073348307360027,0.4073348307360029,1,2.220446049250313e-16
996702,0.9930740023190776,0.9930740023190776,9,0.0
996895,0.3447159357108535,0.3447159357108535,1,0.0
998917,0.9784592648936946,0.9784592648936946,7,0.0
1002238,0.9941073952305592,0.9941073952305592,6,0.0
1002677,0.9941073952305594,0.9941073952305592,6,1.1102230246251565e-16
1004305,0.8172487679532938,0.8172487679532936,5,2.220446049250313e-16
1004346,0.8586841013398266,0.8586841013398266,5,0.0
1004892,0.9940676477440032,0.9940676477440032,6,0.0
1007701,0.9937842773306832,0.9937842773306832,6,0.0
1007782,0.9937842773306832,0.9937842773306832,6,0.0
1007789,0.9941073952305594,0.9941073952305592,6,1.1102230246251565e-16
1008333,0.4912500139448568,0.4912500139448568,1,0.0
1008380,0.2670529531710719,0.2670529531710719,1,0.0
