instance,p_original,replayed_probability,replayed_class,absolute_error
29559,0.2664478421211242,0.26644784,6,5.551115123125783e-17
29850,0.9647476077079772,0.9647476,5,1.1102230246251565e-16
30780,0.8946244120597839,0.8946244,4,0.0
42842,0.5425958037376404,0.5425958,9,0.0
43503,0.8728187084197998,0.8728187,3,0.0
49460,0.8232235908508301,0.8232236,8,0.0
52554,0.7352129817008972,0.735213,4,0.0
56059,0.9917300343513488,0.99173003,6,1.1102230246251565e-16
57820,0.9210343956947328,0.9210344,4,1.1102230246251565e-16
65162,0.9439404606819152,0.94394046,5,1.1102230246251565e-16
65670,0.6235224604606628,0.62352246,9,0.0
68650,0.9972860813140868,0.9972861,4,1.1102230246251565e-16
69386,0.9122100472450256,0.91221005,4,0.0
72046,0.8091747164726257,0.8091747,8,0.0
129345,0.9999934434890748,0.99999344,2,1.1102230246251565e-16
148348,0.999997854232788,0.99999785,2,1.1102230246251565e-16
162798,0.9999991655349731,0.99999917,2,0.0
170208,0.9999985694885254,0.99999857,2,0.0
186355,0.9999994039535522,0.9999994,2,0.0
189264,0.999998927116394,0.9999989,2,0.0
193128,0.9999948740005492,0.9999949,2,1.1102230246251565e-16
236417,0.9999988079071044,0.9999988,2,1.1102230246251565e-16
296427,0.9999992847442628,0.9999993,2,1.1102230246251565e-16
328082,0.9999994039535522,0.9999994,2,0.0
346542,0.9999995231628418,0.9999995,2,0.0
367103,0.9999995231628418,0.9999995,2,0.0
512132,0.9999984502792358,0.99999845,2,0.0
524775,0.9999991655349731,0.99999917,2,0.0
538709,0.9999984502792358,0.99999845,2,0.0
581627,0.9999988079071044,0.9999988,2,1.1102230246251565e-16
632209,0.9999949932098388,0.999995,2,1.1102230246251565e-16
655924,0.9999992847442628,0.9999993,2,1.1102230246251565e-16
662613,0.9999994039535522,0.9999994,2,0.0
675546,0.9999948740005492,0.9999949,2,1.1102230246251565e-16
705606,0.9999990463256836,0.99999905,2,0.0
762115,0.9999995231628418,0.9999995,2,0.0
784017,0.9999990463256836,0.99999905,2,0.0
791805,0.9999959468841552,0.99999595,2,1.1102230246251565e-16
886235,0.9999990463256836,0.99999905,2,0.0
976674,0.8598578572273254,0.85985786,4,0.0
979823,0.9448524713516236,0.9448525,5,1.1102230246251565e-16
980216,0.4322671890258789,0.4322672,4,0.0
980937,0.7102801203727722,0.7102801,5,0.0
989598,0.9999991655349731,0.99999917,2,0.0
990517,0.9823135733604432,0.9823136,6,1.1102230246251565e-16
994104,0.9917502999305724,0.9917503,7,1.1102230246251565e-16
994229,0.5537520051002502,0.553752,4,0.0
994531,0.746492326259613,0.7464923,5,0.0
996567,0.2232188731431961,0.22321887,7,0.0
996702,0.7471552491188049,0.74715525,9,0.0
996895,0.1985742300748825,0.19857423,3,0.0
998917,0.9880291819572448,0.9880292,7,1.1102230246251565e-16
1002238,0.9977413415908812,0.99774134,6,1.1102230246251565e-16
1002677,0.9973581433296204,0.99735814,6,0.0
1004305,0.9786474704742432,0.9786475,5,0.0
1004346,0.992428719997406,0.9924287,5,0.0
1004892,0.9964207410812378,0.99642074,6,0.0
1007701,0.9957572817802428,0.9957573,6,1.1102230246251565e-16
1007782,0.9954492449760436,0.99544924,6,1.1102230246251565e-16
1007789,0.997960090637207,0.9979601,6,0.0
1008333,0.1713681817054748,0.17136818,2,5.551115123125783e-17
1008380,0.248680979013443,0.24868098,2,0.0
1008404,0.155435562133789,0.15543556,2,5.551115123125783e-17
1008461,0.3210195004940033,0.3210195,2,0.0
1008491,0.2404259890317917,0.24042599,2,0.0
1009520,0.5730923414230347,0.57309234,4,0.0
1010147,0.9873592257499696,0.9873592,5,1.1102230246251565e-16
1010603,0.9701154828071594,0.9701155,1,0.0
1012234,0.9983525276184082,0.9983525,6,0.0
1012594,0.9999986886978148,0.9999987,2,1.1102230246251565e-16
1012654,0.9982315897941588,0.9982316,6,1.1102230246251565e-16
1012830,0.1796478629112243,0.17964786,6,5.551115123125783e-17
1014651,0.6787450909614563,0.6787451,4,0.0
1016305,0.4786659777164459,0.47866598,2,0.0
1019006,0.6263039112091064,0.6263039,8,0.0
1033886,0.6551269292831421,0.6551269,8,0.0
1038274,0.9977720379829408,0.99777204,6,1.1102230246251565e-16
1041063,0.9940483570098876,0.99404836,6,1.1102230246251565e-16
1041775,0.9977490305900574,0.99774903,6,0.0
1041957,0.5676918625831604,0.56769186,9,0.0
