,precision,recall,f1-score,support
Benign,0.9951603441533047,0.8653102285447101,0.9257038917730873,70577.0
Bot,1.0,1.0,1.0,47.0
Brute Force -Web,0.046511627906976744,0.16666666666666666,0.07272727272727272,12.0
Brute Force -XSS,0.0,0.0,0.0,5.0
DDOS attack-HOIC,0.9942320017090366,0.9671654197838736,0.9805119561782366,4812.0
DDOS attack-LOIC-UDP,1.0,0.8888888888888888,0.9411764705882353,9.0
DDoS attacks-LOIC-HTTP,0.9988290398126464,0.9988290398126464,0.9988290398126464,854.0
DoS attacks-GoldenEye,1.0,1.0,1.0,122.0
DoS attacks-Hulk,0.9966167230546158,0.9980638915779284,0.9973397823458283,2066.0
DoS attacks-SlowHTTPTest,0.0,0.0,0.0,0.0
DoS attacks-Slowloris,0.9696969696969697,1.0,0.9846153846153847,32.0
FTP-BruteForce,0.984375,1.0,0.9921259842519685,63.0
Infilteration,0.07691558757667219,0.730804810360777,0.13918252290345315,1081.0
SQL Injection,0.0,0.0,0.0,2.0
SSH-Bruteforce,0.99375,1.0,0.9968652037617555,318.0
micro avg,0.875275,0.875275,0.875275,80000.0
macro avg,0.6704058195940148,0.7077152630423661,0.668605167263858,80000.0
weighted avg,0.982530605863726,0.875275,0.9213118185000476,80000.0
