,precision,recall,f1-score,support
Benign,0.9849376458628638,0.9746943055102937,0.9797892038171201,70577.0
Bot,0.2175925925925926,1.0,0.3574144486692015,47.0
Brute Force -Web,0.0016474464579901153,0.25,0.0032733224222585926,12.0
Brute Force -XSS,0.012658227848101266,0.2,0.023809523809523808,5.0
DDOS attack-HOIC,0.9958912768647282,0.6548212801330008,0.7901203610832498,4812.0
DDOS attack-LOIC-UDP,1.0,0.8888888888888888,0.9411764705882353,9.0
DDoS attacks-LOIC-HTTP,0.9056203605514316,1.0,0.9504730105731776,854.0
DoS attacks-GoldenEye,0.28074245939675174,0.9918032786885246,0.4376130198915009,122.0
DoS attacks-Hulk,0.9771547248182763,0.9109390125847048,0.9428857715430862,2066.0
DoS attacks-SlowHTTPTest,0.0,0.0,0.0,0.0
DoS attacks-Slowloris,0.06864988558352403,0.9375,0.1279317697228145,32.0
FTP-BruteForce,0.9692307692307692,1.0,0.984375,63.0
Infilteration,0.03822937625754527,0.01757631822386679,0.024081115335868188,1081.0
SQL Injection,0.0,0.0,0.0,2.0
SSH-Bruteforce,0.6625,1.0,0.7969924812030075,318.0
accuracy,0.9411,0.9411,0.9411,0.9411
macro avg,0.4743236510309716,0.6550815389352853,0.4906623665772695,80000.0
weighted avg,0.9683399286081438,0.9411,0.9517093586242543,80000.0
