,precision,recall,f1-score,support
Benign,0.9944626975584886,0.9949558638083228,0.9947092195567644,70577.0
Bot,1.0,1.0,1.0,47.0
Brute Force -Web,0.09090909090909091,0.16666666666666666,0.11764705882352941,12.0
Brute Force -XSS,0.0,0.0,0.0,5.0
DDOS attack-HOIC,0.9966673609664654,0.9943890274314214,0.9955268906688859,4812.0
DDOS attack-LOIC-UDP,1.0,0.8888888888888888,0.9411764705882353,9.0
DDoS attacks-LOIC-HTTP,0.9988290398126464,0.9988290398126464,0.9988290398126464,854.0
DoS attacks-GoldenEye,1.0,1.0,1.0,122.0
DoS attacks-Hulk,1.0,0.9980638915779284,0.999031007751938,2066.0
DoS attacks-SlowHTTPTest,0.0,0.0,0.0,0.0
DoS attacks-Slowloris,1.0,1.0,1.0,32.0
FTP-BruteForce,1.0,1.0,1.0,63.0
Infilteration,0.6631779257849667,0.6447733580018501,0.6538461538461539,1081.0
SQL Injection,0.0,0.0,0.0,2.0
SSH-Bruteforce,0.9968652037617555,1.0,0.9984301412872841,318.0
micro avg,0.990125,0.990125,0.990125,80000.0
macro avg,0.7160607545862274,0.7124377824125149,0.7132797321556958,80000.0
weighted avg,0.9901143316027097,0.990125,0.9901157109843772,80000.0
