,precision,recall,f1-score,support
Benign,0.994055500774757,0.9998724797030194,0.9969555051671647,70577.0
Bot,1.0,1.0,1.0,47.0
Brute Force -Web,0.0,0.0,0.0,12.0
Brute Force -XSS,0.0,0.0,0.0,5.0
DDOS attack-HOIC,0.9968924798011187,1.0,0.9984438219732338,4812.0
DDOS attack-LOIC-UDP,1.0,0.8888888888888888,0.9411764705882353,9.0
DDoS attacks-LOIC-HTTP,0.9988304093567252,1.0,0.9994148624926857,854.0
DoS attacks-GoldenEye,1.0,1.0,1.0,122.0
DoS attacks-Hulk,1.0,0.9980638915779284,0.999031007751938,2066.0
DoS attacks-SlowHTTPTest,0.0,0.0,0.0,0.0
DoS attacks-Slowloris,1.0,1.0,1.0,32.0
FTP-BruteForce,1.0,1.0,1.0,63.0
Infilteration,0.9881481481481481,0.6170212765957447,0.7596810933940774,1081.0
SQL Injection,0.0,0.0,0.0,2.0
SSH-Bruteforce,0.9968652037617555,1.0,0.9984301412872841,318.0
micro avg,0.9944125,0.9944125,0.9944125,80000.0
macro avg,0.7316527827895004,0.700256435784372,0.7128755268436413,80000.0
weighted avg,0.9941461767939754,0.9944125,0.9936915668653262,80000.0
