,precision,recall,f1-score,support
Benign,0.9938313509046368,0.9705284699303924,0.9820416912745805,69389.0
Bot,1.0,0.95,0.9743589743589743,20.0
Brute Force -Web,0.0,0.0,0.0,14.0
Brute Force -XSS,0.0,0.0,0.0,6.0
DDOS attack-HOIC,0.9973972857408441,0.9998136414461424,0.9986040018613308,5366.0
DDOS attack-LOIC-UDP,1.0,0.9,0.9473684210526315,10.0
DDoS attacks-LOIC-HTTP,0.995627732667083,0.9912935323383084,0.9934559052664381,1608.0
DoS attacks-GoldenEye,1.0,1.0,1.0,137.0
DoS attacks-Hulk,0.9995287464655985,0.9995287464655985,0.9995287464655985,2122.0
DoS attacks-SlowHTTPTest,1.0,1.0,1.0,91.0
DoS attacks-Slowloris,0.22325581395348837,1.0,0.3650190114068441,48.0
FTP-BruteForce,0.9953917050691244,1.0,0.9976905311778291,216.0
Infilteration,0.03359173126614987,0.14130434782608695,0.054279749478079335,460.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,512.0
accuracy,0.9690125,0.9690125,0.9690125,0.9690125
macro avg,0.682574957737795,0.7301645825337686,0.6874898021561537,80000.0
weighted avg,0.9880767490135375,0.9690125,0.9780853587655969,80000.0
