,precision,recall,f1-score,support
Benign,0.9960416608180568,0.5113202380780816,0.6757451671269403,69389.0
Bot,0.08050847457627118,0.95,0.1484375,20.0
Brute Force -Web,0.0,0.0,0.0,14.0
Brute Force -XSS,0.0,0.0,0.0,6.0
DDOS attack-HOIC,0.9875925925925926,0.9938501677226985,0.9907114991640349,5366.0
DDOS attack-LOIC-UDP,1.0,0.9,0.9473684210526315,10.0
DDoS attacks-LOIC-HTTP,0.951073985680191,0.9912935323383084,0.9707673568818515,1608.0
DoS attacks-GoldenEye,0.5291666666666667,0.927007299270073,0.6737400530503979,137.0
DoS attacks-Hulk,0.9242219215155616,0.96559849198869,0.9444572482138741,2122.0
DoS attacks-SlowHTTPTest,0.457286432160804,1.0,0.6275862068965518,91.0
DoS attacks-Slowloris,0.08872458410351201,1.0,0.16298811544991512,48.0
FTP-BruteForce,0.9863013698630136,1.0,0.993103448275862,216.0
Infilteration,0.010001829602976154,0.7130434782608696,0.01972695014133638,460.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,0.6472819216182049,1.0,0.7858787413660783,512.0
accuracy,0.572575,0.572575,0.572575,0.572575
macro avg,0.5105467626131901,0.7301408805105815,0.529367380507965,80000.0
weighted avg,0.9822913833793815,0.572575,0.7070775593772621,80000.0
