,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,65831,378,357,9,169,2,116,193,118,116,24,1,2897,0,325
Bot,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,0,0,0,0,5083,0,0,11,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,0,0,0,0,0,0,655,0,0,0,0,0,16,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,114,0,0,1,0,0,0,0
DoS attacks-Hulk,1,0,0,0,1,0,0,225,1664,0,1,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
DoS attacks-Slowloris,0,0,0,0,0,0,0,0,2,0,80,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0
Infilteration,394,4,2,0,2,0,3,1,0,1,3,0,47,0,1
SQL Injection,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
