,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,55072,228,324,1,39,2,92,16,30,15,17,1,14602,3,94
Bot,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,0,0,0,0,5094,0,0,0,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,16,0,0,0,0,0,655,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,111,2,0,2,0,0,0,0
DoS attacks-Hulk,1,0,0,0,0,0,0,101,1789,0,1,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
DoS attacks-Slowloris,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0
Infilteration,279,4,0,0,2,0,3,0,0,0,0,0,170,0,0
SQL Injection,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234
