n,macro_f1,balanced_accuracy,accuracy,macro_average_precision,false_alarm_rate,absent_test_classes,source,target,variant,seed,train_rows,train_class_counts,train_seconds
80000,0.9645165400145157,0.9949221374017145,0.9945375,0.9882238332254327,0.0054937205345662815,[],unsw,unsw,balanced_weights,42,200000,"[192206, 7794]",4.779198000000065
80000,0.43731181041355294,0.4389092499118811,0.7474,0.5062243517654663,0.14121834872962574,[],unsw,ids2018,balanced_weights,42,200000,"[192206, 7794]",4.779198000000065
80000,0.9709930768235002,0.9803384358886522,0.995725,0.9889454684812764,0.0030260919256594413,[],unsw,unsw,unweighted,42,200000,"[192206, 7794]",11.720796399999927
80000,0.3063949032547456,0.25891197197661103,0.4328,0.504922997023581,0.5044171266339045,[],unsw,ids2018,unweighted,42,200000,"[192206, 7794]",11.720796399999927
80000,0.9607628762045424,0.9968245516059067,0.9938875,0.9726704462773554,0.0063508967881865525,[],unsw,unsw,random_undersampling,42,15588,"[7794, 7794]",1.1112547999998696
80000,0.33549888365406133,0.3323821841139136,0.4299375,0.5089642398817523,0.5348398161091815,[],unsw,ids2018,random_undersampling,42,15588,"[7794, 7794]",1.1112547999998696
80000,0.4878066282692852,0.492940245463071,0.947025,0.48322878954604787,0.016117511071859943,[],ids2018,unsw,balanced_weights,42,200000,"[176736, 23264]",22.82513229999995
80000,0.9819057615213582,0.9774819571331672,0.99175,0.9872926688288264,0.003098473821499085,[],ids2018,ids2018,balanced_weights,42,200000,"[176736, 23264]",22.82513229999995
80000,0.4900398406374502,0.499207761341351,0.9609375,0.48373509190137537,0.0015844773172980766,[],ids2018,unsw,unweighted,42,200000,"[176736, 23264]",49.28633260000015
80000,0.9827495563449593,0.9773932199580104,0.99215,0.9877243146338978,0.00252201357563879,[],ids2018,ids2018,unweighted,42,200000,"[176736, 23264]",49.28633260000015
80000,0.48735258666358705,0.4899274027097189,0.9378375,0.4724701468418072,0.025806200241567854,[],ids2018,unsw,random_undersampling,42,46528,"[23264, 23264]",5.858343899999909
80000,0.9817708956398423,0.9774060132086133,0.9916875,0.987184638687409,0.0031561198460851145,[],ids2018,ids2018,random_undersampling,42,46528,"[23264, 23264]",5.858343899999909
