model,source,target,cohort,n,macro_f1,balanced_accuracy,accuracy,macro_average_precision,false_alarm_rate,absent_test_classes
Qwen/Qwen2.5-0.5B-Instruct,unsw,unsw,balanced100,100,0.3333333333333333,0.5,0.5,0.5100634149149956,0.0,[]
DecisionTree,unsw,unsw,balanced100,100,0.9799919967987194,0.98,0.98,0.9973247988006391,0.04,[]
RandomForest,unsw,unsw,balanced100,100,0.96999699969997,0.97,0.97,0.9988307692307692,0.04,[]
XGBoost,unsw,unsw,balanced100,100,0.9799919967987194,0.98,0.98,0.9988307692307694,0.0,[]
SoftVoting,unsw,unsw,balanced100,100,0.96999699969997,0.97,0.97,0.9988307692307694,0.04,[]
ShallowMLP,unsw,unsw,balanced100,100,0.9799919967987194,0.98,0.98,0.9969225199899429,0.04,[]
DeepMLP,unsw,unsw,balanced100,100,0.9799919967987194,0.98,0.98,0.9984452652468825,0.04,[]
FeatureCNN,unsw,unsw,balanced100,100,0.9799919967987194,0.98,0.98,0.9984507658619004,0.04,[]
Qwen/Qwen2.5-0.5B-Instruct,unsw,ids2018,balanced100,100,0.3333333333333333,0.5,0.5,0.9205749066061082,0.0,[]
DecisionTree,unsw,ids2018,balanced100,100,0.5586380832282472,0.5800000000000001,0.58,0.5479365079365079,0.2,[]
RandomForest,unsw,ids2018,balanced100,100,0.3041632267956127,0.41000000000000003,0.41,0.6175424772148329,0.2,[]
XGBoost,unsw,ids2018,balanced100,100,0.33035714285714285,0.46,0.46,0.42340041874612033,0.1,[]
SoftVoting,unsw,ids2018,balanced100,100,0.2857142857142857,0.4,0.4,0.6504791258124205,0.2,[]
ShallowMLP,unsw,ids2018,balanced100,100,0.5261619114830124,0.53,0.53,0.7045879661745406,0.38,[]
DeepMLP,unsw,ids2018,balanced100,100,0.7726333195535345,0.78,0.78,0.6351146394236398,0.4,[]
FeatureCNN,unsw,ids2018,balanced100,100,0.7821350762527233,0.79,0.79,0.6949908216511838,0.4,[]
Qwen/Qwen2.5-0.5B-Instruct,ids2018,unsw,balanced100,100,0.3333333333333333,0.5,0.5,0.4773242994682402,0.0,[]
DecisionTree,ids2018,unsw,balanced100,100,0.4171928120446819,0.52,0.52,0.5200024935968837,0.06,[]
RandomForest,ids2018,unsw,balanced100,100,0.3333333333333333,0.5,0.5,0.6133920489602661,0.0,[]
XGBoost,ids2018,unsw,balanced100,100,0.45436507936507936,0.56,0.56,0.4581569492102462,0.0,[]
SoftVoting,ids2018,unsw,balanced100,100,0.39673982800667434,0.53,0.53,0.5975551699041637,0.0,[]
ShallowMLP,ids2018,unsw,balanced100,100,0.3743099006256901,0.49,0.49,0.377382536417001,0.08,[]
DeepMLP,ids2018,unsw,balanced100,100,0.3551783129359126,0.51,0.51,0.3834091307332771,0.0,[]
FeatureCNN,ids2018,unsw,balanced100,100,0.36580416032470825,0.5,0.5,0.3839851793288237,0.04,[]
Qwen/Qwen2.5-0.5B-Instruct,ids2018,ids2018,balanced100,100,0.3333333333333333,0.5,0.5,0.8359171349621062,0.0,[]
DecisionTree,ids2018,ids2018,balanced100,100,0.9799919967987194,0.98,0.98,0.9784060356705282,0.0,[]
RandomForest,ids2018,ids2018,balanced100,100,0.9799919967987194,0.98,0.98,0.9896608646275393,0.0,[]
XGBoost,ids2018,ids2018,balanced100,100,0.9799919967987194,0.98,0.98,0.9961596933677908,0.0,[]
SoftVoting,ids2018,ids2018,balanced100,100,0.9799919967987194,0.98,0.98,0.9890266248930366,0.0,[]
ShallowMLP,ids2018,ids2018,balanced100,100,0.9799919967987194,0.98,0.98,0.9930527916191993,0.0,[]
DeepMLP,ids2018,ids2018,balanced100,100,0.9799919967987194,0.98,0.98,0.9746788556835817,0.0,[]
FeatureCNN,ids2018,ids2018,balanced100,100,0.9799919967987194,0.98,0.98,0.9880491146115566,0.0,[]
