feature,ks_distance,wasserstein_encoded,unsw_median,ids2018_median,unsw_zero_fraction,ids2018_zero_fraction
retransmitted_out_bytes,0.66895,5.702795998179913,6.974478721618652,0.0,0.29235,0.9516
retransmitted_out_pkts,0.6636,1.8602163389623163,2.3025851249694824,0.0,0.29235,0.9516
retransmitted_in_bytes,0.6336999999999999,4.284355249989033,6.291569232940674,0.0,0.2952,0.9174
icmp_ipv4_type,0.6231500000000001,2.5182628534317018,3.5835189819335938,0.0,0.2943,0.9172
icmp_type,0.6231500000000001,5.958876209640502,9.100637435913086,0.0,0.2943,0.9172
retransmitted_in_pkts,0.6222,1.3408642440915106,1.945910096168518,0.0,0.2952,0.9174
min_ttl,0.5981,2.010388886344433,3.465735912322998,4.6151204109191895,0.00175,0.35965
out_pkts,0.58415,1.63400845695138,3.6635615825653076,1.3862943649291992,0.01035,0.02375
max_ttl,0.5834,2.001225886297226,3.4965076446533203,4.6151204109191895,0.00175,0.35965
num_pkts_up_to_128_bytes,0.5606,1.67871591232419,4.204692840576172,1.945910096168518,0.0045,0.00075
in_pkts,0.5589500000000001,1.5335786197781562,3.6375861167907715,1.7917594909667969,0.0,0.0
src_to_dst_second_bytes,0.5360499999999999,1.803865600240231,7.919719696044922,5.451038360595703,0.0,0.0001
src_to_dst_avg_throughput,0.53095,2.045220374107361,16.361825942993164,13.774689674377441,0.0,0.00025
in_bytes,0.5197499999999999,1.8086264436841013,7.7765350341796875,5.451038360595703,0.0,0.0
tcp_win_max_in,0.5054000000000001,2.19118428618908,9.917045593261719,9.011034965515137,0.2749,0.4602
dst_to_src_second_bytes,0.4978,2.0192324550747873,8.153349876403809,5.837730407714844,0.01035,0.02375
out_bytes,0.48469999999999996,2.06246185785532,8.08178424835205,5.831882476806641,0.01035,0.02375
min_ip_pkt_len,0.46875,0.2672932979583741,3.97029185295105,3.7135720252990723,0.01035,0.02375
dst_to_src_avg_throughput,0.46730000000000005,2.284297438812256,16.6088809967041,14.196683883666992,0.0104,0.02375
shortest_flow_pkt,0.4634,0.21860546034574505,3.97029185295105,3.7135720252990723,0.0,0.0
tcp_flags,0.43620000000000003,1.283526483333111,3.332204580307007,3.178053855895996,0.2734,0.46005
client_tcp_flags,0.38759999999999994,1.286456801724434,3.332204580307007,3.1354942321777344,0.27355,0.46005
dns_query_id,0.37440000000000007,3.7821249499678613,0.0,0.0,0.91765,0.5434
dns_query_type,0.37429999999999997,0.5717659664154049,0.0,0.0,0.9177,0.5434
num_pkts_1024_to_1514_bytes,0.37145000000000006,1.0961083047151565,0.0,0.0,0.5492,0.7142
dns_ttl_answer,0.36595,1.346037493932247,0.0,0.0,0.9193,0.55335
tcp_win_max_out,0.32395000000000007,2.2512544694423675,9.58059310913086,9.011034965515137,0.2752,0.478
longest_flow_pkt,0.3187,0.2814557646036148,6.698267936706543,5.26269006729126,0.0,0.0
max_ip_pkt_len,0.3187,0.2814557646036148,6.698267936706543,5.26269006729126,0.0,0.0
l7_proto,0.3087,0.5637484601080417,0.0,0.0,0.67165,0.59925
server_tcp_flags,0.19790000000000002,0.7591842424631119,3.332204580307007,3.1354942321777344,0.2759,0.4738
protocol,0.18745,0.18125514466166498,1.945910096168518,1.945910096168518,0.0,0.0
num_pkts_256_to_512_bytes,0.17900000000000005,0.21849467109441767,0.0,0.0,0.70135,0.61935
num_pkts_512_to_1024_bytes,0.1764,0.31059490795135497,0.0,0.0,0.74185,0.59645
ftp_command_ret_code,0.15805000000000002,0.8406903316020967,0.0,0.0,0.84195,1.0
num_pkts_128_to_256_bytes,0.15449999999999997,0.2513459263086319,0.0,0.6931471824645996,0.61215,0.45765
flow_duration_milliseconds,0.0868000000000001,1.325687237691881,0.0,0.0,0.93305,0.84625
duration_in,0.08335000000000004,0.33192241738438616,0.0,0.0,0.93515,0.8518
duration_out,0.07255,0.28701708405613907,0.0,0.0,0.93635,0.8638
