,precision,recall,f1-score,support
Analysis,0.13793103448275862,0.12121212121212122,0.12903225806451613,33.0
Backdoor,0.08978328173374613,0.6744186046511628,0.15846994535519127,43.0
Benign,0.9999602612162717,0.9900068194932592,0.9949586477313915,76252.0
DoS,0.09287257019438445,0.2606060606060606,0.13694267515923567,165.0
Exploits,0.8703703703703703,0.6256239600665557,0.7279767666989352,1202.0
Fuzzers,0.6400625978090767,0.5712290502793296,0.603690036900369,716.0
Generic,0.44545454545454544,0.6024590163934426,0.5121951219512195,244.0
Reconnaissance,0.4585152838427948,0.08215962441314555,0.139349701393497,1278.0
Shellcode,0.031795511221945134,0.9622641509433962,0.06155703077851539,53.0
Worms,0.46153846153846156,0.8571428571428571,0.6,14.0
accuracy,0.963025,0.963025,0.963025,0.963025
macro avg,0.42282839178643544,0.5747122265201331,0.4064172184032871,80000.0
weighted avg,0.9809999545651559,0.963025,0.9690406476392848,80000.0
