,precision,recall,f1-score,support
Analysis,0.045112781954887216,0.5,0.08275862068965517,36.0
Backdoor,0.09634551495016612,0.7073170731707317,0.1695906432748538,41.0
Benign,0.9999868878253458,0.9904801485772173,0.9952108154663256,76997.0
DoS,0.20224719101123595,0.242152466367713,0.22040816326530613,223.0
Exploits,0.9020797227036396,0.676853055916775,0.7734026745913819,1538.0
Fuzzers,0.6109756097560975,0.7046413502109705,0.6544741998693664,711.0
Generic,0.6577946768060836,0.6628352490421456,0.6603053435114504,261.0
Reconnaissance,0.38317757009345793,0.656,0.4837758112094395,125.0
Shellcode,0.2119815668202765,0.7931034482758621,0.33454545454545453,58.0
Worms,0.09,0.9,0.16363636363636364,10.0
accuracy,0.9777125,0.9777125,0.9777125,0.9777125
macro avg,0.419970152192119,0.6833382791561415,0.4538108090059597,80000.0
weighted avg,0.9887655570198176,0.9777125,0.9824500855784283,80000.0
