,precision,recall,f1-score,support
Analysis,0.09271523178807947,0.3888888888888889,0.1497326203208556,36.0
Backdoor,0.12781954887218044,0.4146341463414634,0.19540229885057472,41.0
Benign,0.9999346815070282,0.9941036663766121,0.9970106483441337,76997.0
DoS,0.330188679245283,0.31390134529147984,0.3218390804597701,223.0
Exploits,0.8384308510638298,0.8198959687906372,0.8290598290598291,1538.0
Fuzzers,0.6332958380202475,0.7918424753867792,0.70375,711.0
Generic,0.6723549488054608,0.7547892720306514,0.7111913357400722,261.0
Reconnaissance,0.45695364238410596,0.552,0.5,125.0
Shellcode,0.3425925925925926,0.6379310344827587,0.4457831325301205,58.0
Worms,0.5454545454545454,0.6,0.5714285714285714,10.0
accuracy,0.9847125,0.9847125,0.9847125,0.9847125
macro avg,0.5039740559733353,0.6267986797589271,0.5425197516733927,80000.0
weighted avg,0.9883986231230775,0.9847125,0.9863393973400427,80000.0
