,precision,recall,f1-score,support
Analysis,0.07142857142857142,0.6388888888888888,0.12849162011173185,36.0
Backdoor,0.058823529411764705,0.36585365853658536,0.10135135135135136,41.0
Benign,0.9998557168903055,0.9900125978934244,0.9949098123156438,76997.0
DoS,0.1510791366906475,0.2825112107623318,0.196875,223.0
Exploits,0.8978644382544104,0.628738621586476,0.7395793499043977,1538.0
Fuzzers,0.5284552845528455,0.7313642756680732,0.6135693215339233,711.0
Generic,0.5923344947735192,0.6513409961685823,0.6204379562043796,261.0
Reconnaissance,0.30288461538461536,0.504,0.3783783783783784,125.0
Shellcode,0.29591836734693877,0.5,0.3717948717948718,58.0
Worms,0.07964601769911504,0.9,0.14634146341463414,10.0
accuracy,0.9760875,0.9760875,0.9760875,0.9760875
macro avg,0.3978290172432733,0.6192710249504362,0.42917291250093115,80000.0
weighted avg,0.9873953911632077,0.9760875,0.9807966874553191,80000.0
