,precision,recall,f1-score,support
Analysis,0.0970873786407767,0.2777777777777778,0.14388489208633093,36.0
Backdoor,0.13333333333333333,0.3902439024390244,0.19875776397515527,41.0
Benign,0.9996997702589808,0.9946491421743704,0.9971680609355165,76997.0
DoS,0.2892561983471074,0.31390134529147984,0.3010752688172043,223.0
Exploits,0.8322704081632653,0.8485045513654096,0.8403090792015454,1538.0
Fuzzers,0.6619883040935672,0.7960618846694796,0.722860791826309,711.0
Generic,0.6947368421052632,0.7586206896551724,0.7252747252747253,261.0
Reconnaissance,0.4772727272727273,0.504,0.490272373540856,125.0
Shellcode,0.3684210526315789,0.4827586206896552,0.417910447761194,58.0
Worms,0.5454545454545454,0.6,0.5714285714285714,10.0
accuracy,0.9855875,0.9855875,0.9855875,0.9855875
macro avg,0.5099520560301146,0.5966517914062368,0.5408941974847409,80000.0
weighted avg,0.9883232887541408,0.9855875,0.9868287640713814,80000.0
