,precision,recall,f1-score,support
Analysis,0.17647058823529413,0.08333333333333333,0.11320754716981132,36.0
Backdoor,0.3076923076923077,0.1951219512195122,0.23880597014925373,41.0
Benign,0.9974936041452931,0.9975713339480758,0.9975324675324675,76997.0
DoS,0.40441176470588236,0.24663677130044842,0.3064066852367688,223.0
Exploits,0.822746521476104,0.8842652795838751,0.8523973675963648,1538.0
Fuzzers,0.7412868632707775,0.7777777777777778,0.7590940288263556,711.0
Generic,0.7974683544303798,0.7241379310344828,0.7590361445783133,261.0
Reconnaissance,0.3933333333333333,0.472,0.4290909090909091,125.0
Shellcode,0.5357142857142857,0.25862068965517243,0.3488372093023256,58.0
Worms,0.5,0.2,0.2857142857142857,10.0
accuracy,0.988175,0.988175,0.988175,0.988175
macro avg,0.5676617623003658,0.4839465067852678,0.5090122615196855,80000.0
weighted avg,0.9874872954157073,0.988175,0.9876842514263271,80000.0
