,precision,recall,f1-score,support
Analysis,0.14285714285714285,0.3333333333333333,0.2,33.0
Backdoor,0.19540229885057472,0.5862068965517241,0.29310344827586204,29.0
Benign,0.9997930784749883,0.9947117178553507,0.9972459253239424,77719.0
DoS,0.14797136038186157,0.45925925925925926,0.22382671480144403,135.0
Exploits,0.8021844660194175,0.6656596173212488,0.7275729223995597,993.0
Fuzzers,0.7151515151515152,0.7013372956909361,0.7081770442610653,673.0
Generic,0.5991379310344828,0.695,0.6435185185185185,200.0
Reconnaissance,0.6804733727810651,0.6647398843930635,0.672514619883041,173.0
Shellcode,0.15306122448979592,0.6976744186046512,0.2510460251046025,43.0
Worms,0.16666666666666666,1.0,0.2857142857142857,2.0
accuracy,0.9852125,0.9852125,0.9852125,0.9852125
macro avg,0.4602699056707511,0.6797922423009568,0.500271950428232,80000.0
weighted avg,0.9906950742771098,0.9852125,0.987572136000932,80000.0
