source,target,model,training_seed,n,lime_seeds,advantage_mean,ci95_low,ci95_high,jaccard5_mean
ids2018,unsw,DecisionTree,42,20,3,0.026143998110929444,-0.042168294288182404,0.09796828266243682,0.571031746031746
ids2018,ids2018,DecisionTree,42,20,3,0.021820353537276134,-0.08255989906298512,0.13486528208953924,0.5426587301587301
ids2018,unsw,DeepMLP,42,20,3,-0.025328766405582424,-0.05986764321227867,-0.0037700440734624923,0.6529761904761904
ids2018,ids2018,DeepMLP,42,20,3,0.06116902649402618,0.008616547763347627,0.12273030311365914,0.6063492063492063
ids2018,unsw,FeatureCNN,42,20,3,0.058814080357551576,-0.009253720412651698,0.14010496278603868,0.5974206349206349
ids2018,ids2018,FeatureCNN,42,20,3,-0.0035663178563117973,-0.057471378646790985,0.044678337519367534,0.6595238095238094
ids2018,unsw,RandomForest,42,20,3,0.0030711653616487464,-0.00785056405441807,0.01643174095743262,0.6432539682539683
ids2018,ids2018,RandomForest,42,20,3,-0.006565086767729869,-0.025735726708424028,0.018107265545918756,0.6232142857142857
ids2018,unsw,ShallowMLP,42,20,3,-0.05188002467155457,-0.08982177861283222,-0.01210605081667503,0.7119047619047617
ids2018,ids2018,ShallowMLP,42,20,3,0.11415782550970713,0.05980587526162464,0.17328712149461106,0.669047619047619
ids2018,unsw,SoftVoting,42,20,3,0.014526224467756182,-0.013679472633190286,0.04713185638049285,0.5439814814814815
ids2018,ids2018,SoftVoting,42,20,3,-0.011652612509303783,-0.038434789787265715,0.018935030700958963,0.5177248677248677
ids2018,unsw,XGBoost,42,20,3,-0.016224146882692973,-0.06624016162753105,0.01665743786593275,0.6853174603174603
ids2018,ids2018,XGBoost,42,20,3,0.039440474708875024,0.009202940344810485,0.08197899675369262,0.7238095238095237
unsw,unsw,DecisionTree,42,20,3,0.3809439009481327,0.3381126639601748,0.42808977497398926,0.5240079365079365
unsw,ids2018,DecisionTree,42,20,3,0.03943983527485599,-0.052542816137777074,0.1545211547389286,0.5960317460317459
unsw,unsw,DeepMLP,42,20,3,0.3042724366982778,0.19430327320595583,0.3956096930454175,0.7587301587301587
unsw,ids2018,DeepMLP,42,20,3,0.605749630133311,0.4975569748580455,0.7028146023005247,0.7809523809523808
unsw,unsw,FeatureCNN,42,20,3,0.37555483361085257,0.32019922161102293,0.4172423125555117,0.6644841269841268
unsw,ids2018,FeatureCNN,42,20,3,0.5199405509233473,0.4002294723689556,0.6463537326008081,0.7603174603174603
unsw,unsw,RandomForest,42,20,3,0.3164737183078822,0.2938092675628946,0.33951122205756173,0.9777777777777779
unsw,ids2018,RandomForest,42,20,3,-0.13383186108780967,-0.20339311275332086,-0.04764280935410149,0.9222222222222222
unsw,unsw,ShallowMLP,42,20,3,0.28134563267230983,0.17244925567507743,0.37471308547755083,0.861111111111111
unsw,ids2018,ShallowMLP,42,20,3,0.14001423130432764,-0.010885919737319151,0.29664440703888734,0.8833333333333332
unsw,unsw,SoftVoting,42,20,3,0.36284130881930365,0.3286467035287906,0.3961048702282853,0.7777777777777777
unsw,ids2018,SoftVoting,42,20,3,-0.03952460451909144,-0.08980787238224804,0.03700437903661817,0.8055555555555556
unsw,unsw,XGBoost,42,20,3,0.39221222046901094,0.344268444954683,0.4355589913318357,0.5164682539682539
unsw,ids2018,XGBoost,42,20,3,0.026754094104617248,-0.003157167861859004,0.0848168038745207,0.5706349206349206
