source,target,model,baseline,ranking,n,advantage,ci95_low,ci95_high,sufficiency_gap
ids2018,ids2018,DecisionTree,mean,absolute,20,-0.05664218581530465,-0.1501269332319248,0.04265146922993078,0.6972222501096493
ids2018,ids2018,DecisionTree,mean,signed_descending,20,0.05737706677731795,-0.061210044082041344,0.18476090425141425,0.524682808242945
ids2018,ids2018,DecisionTree,median,absolute,20,0.021820353537276134,-0.08255989906298512,0.13486528208953924,0.49794492964391707
ids2018,ids2018,DecisionTree,median,signed_descending,20,0.024641148517330076,-0.07668562556329211,0.14321794989757686,0.3776688196662623
ids2018,ids2018,DeepMLP,mean,absolute,20,0.050497618019580845,0.010216986462473869,0.10215156426529086,0.33501743068297707
ids2018,ids2018,DeepMLP,mean,signed_descending,20,0.1231469812989235,0.05000571317970754,0.20952949002136784,0.20229194442431134
ids2018,ids2018,DeepMLP,median,absolute,20,0.06116902649402618,0.008616547763347627,0.12273030311365914,0.3926061060031255
ids2018,ids2018,DeepMLP,median,signed_descending,20,0.1067358785867691,0.035997344295183815,0.18912170015275473,0.31395859936873116
ids2018,ids2018,FeatureCNN,mean,absolute,20,0.016722397804260256,-0.022436482171217596,0.05732545454303423,0.47609995712836584
ids2018,ids2018,FeatureCNN,mean,signed_descending,20,0.07599493861198424,0.02406955084701379,0.13384390745560323,0.19519449849923454
ids2018,ids2018,FeatureCNN,median,absolute,20,-0.0035663178563117973,-0.057471378646790985,0.044678337519367534,0.4591142249107361
ids2018,ids2018,FeatureCNN,median,signed_descending,20,0.058158207039038345,-0.003072902756432688,0.11834180232882499,0.265780788064003
ids2018,ids2018,RandomForest,mean,absolute,20,-0.019600657496381086,-0.035802573149084256,-0.0027537798934694296,0.41692067656117715
ids2018,ids2018,RandomForest,mean,signed_descending,20,-0.018268585628547267,-0.041346692731506623,0.0044487469795371675,0.3952250373863351
ids2018,ids2018,RandomForest,median,absolute,20,-0.006565086767729879,-0.025735726708424028,0.018107265545918752,0.4331404914432415
ids2018,ids2018,RandomForest,median,signed_descending,20,-4.5782836220514386e-05,-0.02463108911494359,0.027534737088815434,0.395087217819708
ids2018,ids2018,ShallowMLP,mean,absolute,20,0.13402215162913006,0.07426816829045614,0.20496716682612884,0.2891907500227292
ids2018,ids2018,ShallowMLP,mean,signed_descending,20,0.20567319174607596,0.12334765189389389,0.3009123487422864,0.08301229258378347
ids2018,ids2018,ShallowMLP,median,absolute,20,0.11415782550970713,0.05980587526162464,0.17328712149461106,0.3734954780340195
ids2018,ids2018,ShallowMLP,median,signed_descending,20,0.20280304471651714,0.12280816763142742,0.29258586357037225,0.1898446545998255
ids2018,ids2018,SoftVoting,mean,absolute,20,-0.007490402862527573,-0.045683413159363445,0.03184830744409669,0.48164131274791566
ids2018,ids2018,SoftVoting,mean,signed_descending,20,0.020678209856359705,-0.0245471332134119,0.06710518482646101,0.4380662784556115
ids2018,ids2018,SoftVoting,median,absolute,20,-0.01165261250930378,-0.03843478978726573,0.018935030700958973,0.44271068790279067
ids2018,ids2018,SoftVoting,median,signed_descending,20,-0.003474040997903489,-0.02972576605069271,0.023492742606478413,0.4013886577246358
ids2018,ids2018,XGBoost,mean,absolute,20,0.011088449557622273,-0.004368201444546383,0.02994910053908825,0.2906447851036985
ids2018,ids2018,XGBoost,mean,signed_descending,20,0.010524364511171974,-0.004693525051077207,0.02951191927492618,0.29150276460374397
ids2018,ids2018,XGBoost,median,absolute,20,0.039440474708875024,0.009202940344810485,0.08197899675369262,0.3731310522649437
ids2018,ids2018,XGBoost,median,signed_descending,20,0.03888651172320049,0.008088700488209725,0.08163759237527848,0.35659053557552395
ids2018,unsw,DecisionTree,mean,absolute,20,0.0876334908686579,0.011719297858342602,0.18157172519360137,0.5101743375077943
ids2018,unsw,DecisionTree,mean,signed_descending,20,0.10925180765757556,0.02950025838198833,0.20164488822817325,0.9284165524118159
ids2018,unsw,DecisionTree,median,absolute,20,0.026143998110929444,-0.042168294288182404,0.09796828266243682,0.11201026424983622
ids2018,unsw,DecisionTree,median,signed_descending,20,0.11364785754762756,8.254490997418899e-05,0.24096058064421333,0.0
ids2018,unsw,DeepMLP,mean,absolute,20,-0.010117084681987758,-0.06650712255140145,0.027634367316961287,0.3317113185922304
ids2018,unsw,DeepMLP,mean,signed_descending,20,0.2445519294341405,0.13057646569112935,0.37350168902675296,0.06361164549986523
ids2018,unsw,DeepMLP,median,absolute,20,-0.025328766405582424,-0.05986764321227867,-0.0037700440734624923,0.04851126044988633
ids2018,unsw,DeepMLP,median,signed_descending,20,0.1995485712091128,0.10315753659605979,0.31362792963286235,-0.04807956198851267
ids2018,unsw,FeatureCNN,mean,absolute,20,0.10559457014004392,0.032974479727447034,0.189071048758924,0.30899116317431125
ids2018,unsw,FeatureCNN,mean,signed_descending,20,0.3365079365173976,0.20620566968123116,0.47873655235767365,-0.00549495538075765
ids2018,unsw,FeatureCNN,median,absolute,20,0.058814080357551576,-0.009253720412651698,0.14010496278603868,0.11641525516907372
ids2018,unsw,FeatureCNN,median,signed_descending,20,0.2628112457195918,0.13395145057638483,0.40366026503841085,-0.033932439287503564
ids2018,unsw,RandomForest,mean,absolute,20,0.01131017823994782,-8.340789695642638e-05,0.022856584638554132,0.018596366535578848
ids2018,unsw,RandomForest,mean,signed_descending,20,0.02349176856136068,0.012829535259695627,0.034291850261621466,0.006462443610625551
ids2018,unsw,RandomForest,median,absolute,20,0.0030711653616487537,-0.00785056405441803,0.016431740957432616,-0.0339992179888665
ids2018,unsw,RandomForest,median,signed_descending,20,0.011184585658519958,-0.000735171835148342,0.02416478705843367,-0.0705977855612886
ids2018,unsw,ShallowMLP,mean,absolute,20,0.016654861569404593,-0.024113830223679546,0.054763405712942276,0.4474500565727553
ids2018,unsw,ShallowMLP,mean,signed_descending,20,0.3928992335995038,0.30645702113211154,0.4802610798229773,-0.03198660353819529
ids2018,unsw,ShallowMLP,median,absolute,20,-0.05188002467155457,-0.08982177861283222,-0.01210605081667503,0.34007280210653945
ids2018,unsw,ShallowMLP,median,signed_descending,20,0.2942056287328402,0.21694355177382627,0.3768585758432745,-0.07867828428745269
ids2018,unsw,SoftVoting,mean,absolute,20,0.04782738140375394,0.02295097560260207,0.07177067160353015,0.28492384097818596
ids2018,unsw,SoftVoting,mean,signed_descending,20,0.04057130679409571,0.013039650583815466,0.07039445368358245,0.320004302604025
ids2018,unsw,SoftVoting,median,absolute,20,0.014526224467756196,-0.013679472633190283,0.04713185638049285,0.037336222607360456
ids2018,unsw,SoftVoting,median,signed_descending,20,0.03290699575671522,-0.001205577479073395,0.07046972296044898,-0.022062888218345733
ids2018,unsw,XGBoost,mean,absolute,20,-0.01262753446896871,-0.04378489569822946,0.004881273612380027,-0.010794652501742044
ids2018,unsw,XGBoost,mean,signed_descending,20,0.018019641041755678,0.00012107737859090165,0.052260684728622435,-0.020752924680709838
ids2018,unsw,XGBoost,median,absolute,20,-0.016224146882692973,-0.06624016162753105,0.01665743786593275,-0.02032265325387319
ids2018,unsw,XGBoost,median,signed_descending,20,0.02622807840506236,0.0007900514503320059,0.07088828448951243,-0.027608061234156288
unsw,ids2018,DecisionTree,mean,absolute,20,0.03239091678496486,-0.07419996810715994,0.1687263971920959,0.1863551524593149
unsw,ids2018,DecisionTree,mean,signed_descending,20,0.40007902540835766,0.27730254817024036,0.5339476628857727,-0.006563892881672785
unsw,ids2018,DecisionTree,median,absolute,20,0.03943983527485599,-0.052542816137777074,0.1545211547389286,0.053021819125981494
unsw,ids2018,DecisionTree,median,signed_descending,20,0.26128728118991473,0.17427608568543027,0.3611744379698124,0.05010277378499388
unsw,ids2018,DeepMLP,mean,absolute,20,0.5636962213118871,0.4652913570801417,0.6578291705896455,0.020806045532226564
unsw,ids2018,DeepMLP,mean,signed_descending,20,0.6512268004814784,0.5376521445810796,0.7531225500653187,0.009448780814806622
unsw,ids2018,DeepMLP,median,absolute,20,0.605749630133311,0.4975569748580455,0.7028146023005247,0.024243202010790506
unsw,ids2018,DeepMLP,median,signed_descending,20,0.6524341561396917,0.5351462680647772,0.7576045442670583,0.025963717699050905
unsw,ids2018,FeatureCNN,mean,absolute,20,0.5028044122457505,0.38768740122268597,0.6258362652336557,0.16377531627813977
unsw,ids2018,FeatureCNN,mean,signed_descending,20,0.5071050989627838,0.391693566761911,0.6302548074324925,0.11326305131117505
unsw,ids2018,FeatureCNN,median,absolute,20,0.5199405509233473,0.4002294723689556,0.6463537326008081,0.2265620583295822
unsw,ids2018,FeatureCNN,median,signed_descending,20,0.5210756532351176,0.40099989387889706,0.6476717988550663,0.18999115824699403
unsw,ids2018,RandomForest,mean,absolute,20,-0.12466445030923905,-0.1994744592242716,-0.03373453857460025,0.20144872827583266
unsw,ids2018,RandomForest,mean,signed_descending,20,0.22145808179914434,0.1608756197094969,0.2948351972842225,-0.1623096388648812
unsw,ids2018,RandomForest,median,absolute,20,-0.13383186108780962,-0.20339311275332084,-0.04764280935410149,0.045974618575498595
unsw,ids2018,RandomForest,median,signed_descending,20,0.07951848401143435,0.03820158139698919,0.14543666804013136,-0.21616457257565197
unsw,ids2018,ShallowMLP,mean,absolute,20,0.05821119566758474,-0.05105128181974093,0.17944626650710896,0.23489678680896758
unsw,ids2018,ShallowMLP,mean,signed_descending,20,0.34345422685146326,0.22581165799001857,0.46767946268866456,-0.08312634487946828
unsw,ids2018,ShallowMLP,median,absolute,20,0.14001423130432764,-0.010885919737319151,0.29664440703888734,0.018218167722225193
unsw,ids2018,ShallowMLP,median,signed_descending,20,0.2540313888589541,0.10901478544871016,0.3987061068614324,-0.05148278365532557
unsw,ids2018,SoftVoting,mean,absolute,20,-0.039204191892628734,-0.10490066508915648,0.052111102387766166,0.19138369703889593
unsw,ids2018,SoftVoting,mean,signed_descending,20,0.22415836778977954,0.14700265697930634,0.3133062964251006,-0.062311974447216846
unsw,ids2018,SoftVoting,median,absolute,20,-0.03952460451909143,-0.089807872382248,0.03700437903661817,0.02708255465019223
unsw,ids2018,SoftVoting,median,signed_descending,20,0.032879089575940865,-0.010724519126220357,0.10421074661122183,-0.07617620496887506
unsw,ids2018,XGBoost,mean,absolute,20,0.02201308333745449,-0.026136387253801026,0.09360459654144991,0.06044386483728886
unsw,ids2018,XGBoost,mean,signed_descending,20,0.09898498181373724,0.04406470126410326,0.17127328320952798,0.01213578003148238
unsw,ids2018,XGBoost,median,absolute,20,0.026754094104617248,-0.003157167861859004,0.0848168038745207,0.02075983399059624
unsw,ids2018,XGBoost,median,signed_descending,20,0.03227882876063328,0.001839928244551023,0.09054775220349258,0.009849366683823366
unsw,unsw,DecisionTree,mean,absolute,20,0.45941651444342035,0.4204481855769489,0.49521027973580933,0.005474099311889376
unsw,unsw,DecisionTree,mean,signed_descending,20,0.45941651444342035,0.4204481855769489,0.49521027973580933,-0.0011925673547772905
unsw,unsw,DecisionTree,median,absolute,20,0.3809439009481327,0.3381126639601748,0.42808977497398926,0.11216673612916057
unsw,unsw,DecisionTree,median,signed_descending,20,0.3809439009481327,0.3381126639601748,0.42808977497398926,0.10542089529558005
unsw,unsw,DeepMLP,mean,absolute,20,0.2527453223864237,0.15087372062106924,0.34830908064047494,0.13501370390256245
unsw,unsw,DeepMLP,mean,signed_descending,20,0.30427872876326245,0.20232138687868914,0.38655836573243135,0.03632814506689708
unsw,unsw,DeepMLP,median,absolute,20,0.3042724366982778,0.19430327320595583,0.3956096930454175,0.05739596664905548
unsw,unsw,DeepMLP,median,signed_descending,20,0.3266338684161504,0.24143462582925954,0.3957082062164943,0.04029181003570556
unsw,unsw,FeatureCNN,mean,absolute,20,0.36470405220985413,0.3040112697730462,0.4070691552211841,0.08176563640435536
unsw,unsw,FeatureCNN,mean,signed_descending,20,0.37145555814107256,0.31844042636950814,0.40931793095668156,0.06836016515890755
unsw,unsw,FeatureCNN,median,absolute,20,0.37555483361085257,0.32019922161102293,0.4172423125555117,0.13851129194100698
unsw,unsw,FeatureCNN,median,signed_descending,20,0.3794140863418579,0.3310257666011652,0.4175347848435243,0.13032157182693482
unsw,unsw,RandomForest,mean,absolute,20,0.3368423387672467,0.30723649221845556,0.3682122645921047,0.15315352080620268
unsw,unsw,RandomForest,mean,signed_descending,20,0.34442830272199393,0.3140632679510254,0.37579353694322987,0.1458195905630729
unsw,unsw,RandomForest,median,absolute,20,0.3164737183078822,0.2938092675628946,0.3395112220575618,0.21442201492913107
unsw,unsw,RandomForest,median,signed_descending,20,0.32180799097136703,0.29882923895269103,0.3447043486369842,0.20878134090016873
unsw,unsw,ShallowMLP,mean,absolute,20,0.2078668665885925,0.12076791370411714,0.290707567801078,0.20164123137791953
unsw,unsw,ShallowMLP,mean,signed_descending,20,0.27034716486930843,0.18450856891771156,0.342604261547327,0.051942840218544006
unsw,unsw,ShallowMLP,median,absolute,20,0.28134563267230983,0.17244925567507743,0.37471308547755083,0.2482721569140752
unsw,unsw,ShallowMLP,median,signed_descending,20,0.3050395566225052,0.21705064054330192,0.383147952362895,0.10138610402743023
unsw,unsw,SoftVoting,mean,absolute,20,0.40561858742671586,0.3700186826953821,0.4373933399406545,0.10090268228853523
unsw,unsw,SoftVoting,mean,signed_descending,20,0.40670895578406546,0.3710214626420878,0.4384983002506109,0.09934697964826494
unsw,unsw,SoftVoting,median,absolute,20,0.36284130881930365,0.3286467035287906,0.3961048702282853,0.20525721957749316
unsw,unsw,SoftVoting,median,signed_descending,20,0.3645182377015166,0.33021998365901617,0.39783909026767067,0.20246402977933226
unsw,unsw,XGBoost,mean,absolute,20,0.42909322928857974,0.38741867163745763,0.46629912699735954,0.15694669475158055
unsw,unsw,XGBoost,mean,signed_descending,20,0.4290938240770507,0.38742121703483096,0.46630051290746993,0.1569659051299095
unsw,unsw,XGBoost,median,absolute,20,0.39221222046901094,0.344268444954683,0.4355589913318357,0.2362353366008029
unsw,unsw,XGBoost,median,signed_descending,20,0.39221526059836076,0.3442723221385257,0.43556163277423243,0.2351760863652453
